category,name,mrp,discountpercent,availablequantity,discountedsellingprice,weightingms,outofstock,quantity,discountamount,discountpercent_calculated
Fruits & Vegetables,Onion,25.0,16,3,21.0,1000,False,1,4.0,16.0
Fruits & Vegetables,Tomato Hybrid,42.0,16,3,35.0,1000,False,1,7.0,16.666666666666664
Fruits & Vegetables,Tender Coconut,51.0,15,3,43.0,58,False,1,8.0,15.686274509803921
Fruits & Vegetables,Coriander Leaves,20.0,15,3,17.0,100,False,100,3.0,15.0
Fruits & Vegetables,Ladies Finger ,14.0,14,3,12.0,250,False,250,2.0,14.285714285714285
Fruits & Vegetables,Potato,35.0,17,3,29.0,1000,False,1,6.0,17.142857142857142
Fruits & Vegetables,Lemon,75.0,16,3,63.0,200,False,200,12.0,16.0
Fruits & Vegetables,Watermelon ,58.0,15,3,49.0,58,False,1,9.0,15.517241379310345
Fruits & Vegetables,Capsicum Green ,23.0,17,3,19.0,250,False,250,4.0,17.391304347826086
Fruits & Vegetables,Chilli Green ,19.0,15,3,16.0,100,False,100,3.0,15.789473684210526
Fruits & Vegetables,Banana Robusta,29.0,17,3,24.0,348,False,6,5.0,17.24137931034483
Fruits & Vegetables,Garlic Indian ,11.0,18,3,9.0,100,False,100,2.0,18.181818181818183
Fruits & Vegetables,Cauliflower,26.0,15,3,22.0,58,False,1,4.0,15.384615384615385
Fruits & Vegetables,Ginger,14.0,14,3,12.0,200,False,200,2.0,14.285714285714285
Fruits & Vegetables,Spinach,19.0,15,3,16.0,250,False,250,3.0,15.789473684210526
Fruits & Vegetables,Muskmelon,42.0,16,3,35.0,58,False,1,7.0,16.666666666666664
Fruits & Vegetables,Cabbage ,15.0,13,3,13.0,58,False,1,2.0,13.333333333333334
Fruits & Vegetables,Methi,30.0,16,3,25.0,250,False,250,5.0,16.666666666666664
Fruits & Vegetables,Broccoli,36.0,16,3,30.0,500,False,500,6.0,16.666666666666664
Fruits & Vegetables,Sapota,30.0,16,3,25.0,348,False,6,5.0,16.666666666666664
Fruits & Vegetables,Onion,68.0,16,3,57.0,3000,False,3,11.0,16.176470588235293
Fruits & Vegetables,Potato,100.0,16,3,84.0,3000,False,3,16.0,16.0
Fruits & Vegetables,Orange Nagpur,82.0,15,3,69.0,232,False,4,13.0,15.853658536585366
Fruits & Vegetables,Mint Leaves ,11.0,18,3,9.0,100,False,100,2.0,18.181818181818183
Fruits & Vegetables,Beans French,33.0,15,3,28.0,250,False,250,5.0,15.151515151515152
Fruits & Vegetables,Bottle Gourd ,26.0,15,3,22.0,58,False,1,4.0,15.384615384615385
Fruits & Vegetables,Banana Elaichi ,58.0,15,3,49.0,348,False,6,9.0,15.517241379310345
Fruits & Vegetables,Coconut Big,36.0,16,3,30.0,58,False,1,6.0,16.666666666666664
Fruits & Vegetables,Curry Leaves,13.0,15,3,11.0,50,False,50,2.0,15.384615384615385
Fruits & Vegetables,Brinjal Bharta,19.0,15,3,16.0,58,False,1,3.0,15.789473684210526
Fruits & Vegetables,Lettuce Iceberg,25.0,16,3,21.0,250,False,250,4.0,16.0
Fruits & Vegetables,Papaya,54.0,16,3,45.0,58,False,1,9.0,16.666666666666664
Fruits & Vegetables,Apple Shimla,142.0,16,3,119.0,232,False,4,23.0,16.19718309859155
Fruits & Vegetables,Bitter Gourd,18.0,16,3,15.0,250,False,250,3.0,16.666666666666664
Fruits & Vegetables,Brinjal Small,18.0,16,3,15.0,250,False,250,3.0,16.666666666666664
Fruits & Vegetables,Sweet Corn,36.0,16,3,30.0,116,False,2,6.0,16.666666666666664
Fruits & Vegetables,Spring Onion ,18.0,16,3,15.0,250,False,250,3.0,16.666666666666664
Fruits & Vegetables,Bell Peppers Red & Yellow ,118.0,16,3,99.0,116,False,2,19.0,16.101694915254235
Fruits & Vegetables,Pomegranate ,106.0,16,3,89.0,116,False,2,17.0,16.037735849056602
Fruits & Vegetables,Sweet Lime,30.0,16,3,25.0,116,False,2,5.0,16.666666666666664
Fruits & Vegetables,Baby Potato,19.0,15,3,16.0,500,False,500,3.0,15.789473684210526
Fruits & Vegetables,Coccinia,32.0,15,3,27.0,250,False,250,5.0,15.625
Fruits & Vegetables,Guava,54.0,16,3,45.0,232,False,4,9.0,16.666666666666664
Fruits & Vegetables,Apple Washington,177.0,15,3,149.0,232,False,4,28.0,15.819209039548024
Fruits & Vegetables,Amla,32.0,15,3,27.0,250,False,250,5.0,15.625
Fruits & Vegetables,Beans Cluster,30.0,16,3,25.0,250,False,250,5.0,16.666666666666664
Fruits & Vegetables,Apple Royal Gala,189.0,15,3,159.0,232,False,4,30.0,15.873015873015872
Fruits & Vegetables,Chilli Bhaji,30.0,16,3,25.0,250,False,250,5.0,16.666666666666664
Fruits & Vegetables,Lettuce Green,23.0,17,3,19.0,100,False,100,4.0,17.391304347826086
Fruits & Vegetables,Baby Corn Peeled,35.0,17,3,29.0,250,False,250,6.0,17.142857142857142
Fruits & Vegetables,Mixed Sprouts,35.0,17,3,29.0,200,False,200,6.0,17.142857142857142
Fruits & Vegetables,Zucchini Green,35.0,17,3,29.0,250,False,250,6.0,17.142857142857142
